sampleID	isIncluded	subjectID	measurementid	perturbid	exptblock	intv	Clostridium-hiranonis	Clostridium-difficile	Proteus-mirabilis	Clostridium-scindens	Ruminococcus-obeum	Clostridium-ramosum	Bacteroides-ovatus	Akkermansia-muciniphila	Parabacteroides-distasonis	Bacteroides-fragilis	Bacteroides-vulgatus	Enterococcus-faecalis	Klebsiella-oxytoca	Lactobacillus-reuteri	Roseburia-hominis	Escherichia-coli
47	1	2	38	0	1	NA	0	258911832.186168	125524184.108255	19221800.8147212	125087324.998829	606651683.288851	1335623917.21684	2750901812.05225	185082642.693262	1002300416.7252	486224188.790561	5533548.71938943	115330804.888327	0	133242028.374772	106884862.106101
48	1	2	42	0	1	NA	0	81684221.7257155	58945100.5426109	11259176.5081392	88895981.8420399	275150725.25446	806318934.638437	1459498350.88839	137980104.266411	627423130.120226	360808773.983048	735893.88942086	73000673.8305493	0	113916374.082349	54308969.0392595
49	1	2	45	0	1	NA	0	66119939.952376	47582565.4829692	12886944.8183042	107556424.060462	313846671.498085	686576767.781344	1297913603.89274	152363339.890258	543829071.332436	370747489.388135	495651.72378093	53926907.5473652	99130.3447561859	113405114.401077	62452117.1963971
50	1	2	49	0	1	NA	0	46214893.2219127	30276323.1197772	8212887.65088208	52478960.0742804	197944512.534819	545600222.841226	1359580909.935	118390863.509749	354546183.844011	174349860.724234	487205.199628598	62014261.8384401	0	68835134.6332405	104401114.206128
51	1	2	52	0	1	NA	0	36417144.1837887	27768807.842889	7707020.82080181	80835470.2884098	252860881.586307	817120703.66501	1251361319.53019	174790525.638184	510075347.453066	268274923.22791	235328.880024483	78129188.1681282	0	124371313.092939	86718692.2890218
52	1	2	56	0	1	NA	0	168948886.954359	97241802.4292169	22036811.3418729	298721220.412055	1095544335.28168	3117684118.89069	4281437632.13531	761494258.591386	2134772374.91191	1032931807.81826	1399162.62488082	274585665.132861	0	421497740.745347	355037516.063508
53	1	3	0.75	0	1	NA	146255894.913676	0	112246442.811747	17996032.9507964	991306.899832007	169132207.986723	694448610.520776	99740724.998482	3736464.46859757	316760681.684781	2236922146.65938	11819428.4210739	997712267.49246	2973920.69949602	305017.507640618	212215930.94096
54	1	3	1	0	1	NA	474546391.499595	0	255501214.694118	54684056.8329611	42326077.8876592	660225025.152757	3218326666.83026	977516134.573385	11431130.5244043	1072981521.92584	3323678437.33896	47887168.4130451	1935877401.78155	10195332.6298741	617898.947265098	503896591.494687
55	1	3	2	0	1	NA	97660711.8326196	0	121745954.953502	15506937.3518011	144346491.306659	760664767.331434	2796197745.88328	2886269956.45864	36457799.5185962	501171017.81672	841003900.207254	4124185.46590454	702266301.134226	1979609.02363418	105249213.089884	192022075.292516
56	1	3	3	0	1	NA	31365376.0569648	0	126161103.693814	6995994.65954606	31715175.7899421	332426346.23943	1529674232.30975	1589140186.91589	83019136.6266133	323448153.093013	343036938.139742	466399.643969737	223405429.461504	0	54102358.7004895	128376502.00267
57	1	3	4	0	1	NA	11813871.03922	0	82806484.9693478	11266932.5651821	35222837.7280449	529436442.86875	1907612009.74961	1451355934.70714	67929758.4755152	405828347.73617	184208878.055986	765713.86365315	94729743.7033754	218775.389615186	46161607.2088042	107309328.606249
58	1	3	6	0	1	NA	1932744.85077764	0	34858433.915811	6281420.76502732	33512415.180448	132634615.384615	508173842.550892	504273839.54843	23089398.3066114	170323139.974779	38447817.2101123	69026.6018134871	23607097.8202126	0	18257536.1796673	37205338.3774695
59	1	3	8	0	1	NA	5581504.42650824	0	130979303.875393	40558932.1659599	157398424.827532	435729445.562743	1838547558.09181	2364945442.22739	114234790.595869	599577608.838685	164096230.139342	372100.295100549	106172617.535357	0	177491840.762962	210980867.322011
60	1	3	10	0	1	NA	3782364.92303816	0	57863547.5945486	12143382.121333	68613426.8494992	196882047.836039	1174059343.56691	911019088.217383	70803217.0681002	367420255.769513	90975829.9909704	0	37956363.7890847	199071.83805464	53815753.5541043	114399949.602066
61	1	3	14	0	1	NA	1477545.56949437	0	44326367.084831	5356102.68941708	136549836.380771	189372090.490195	1296854059.22495	1387784676.14758	70737494.1395428	696170220.826763	77140191.6073517	184693.196186796	111369997.300638	0	79233381.1641354	236653548.714014
62	1	3	17	0	1	NA	5168836.97727625	0	82270655.2216469	37617646.8901771	273086886.966095	594990567.606466	2213410856.71363	2931161302.5304	125775033.113722	958101365.260122	277968566.333523	0	206179163.871352	0	265333631.500181	375602153.682074
63	1	3	21	0	1	NA	3302598.01606046	0	107570335.380255	27678916.7060305	241246921.744607	623090159.030074	2353179719.72918	2829225633.75846	181171091.166745	914976917.020941	401816091.954023	786332.860966777	131160321.209258	0	191707951.5037	316420343.253031
64	1	3	24	0	1	NA	3260454.93786264	434727.325048351	197583569.234476	33256640.3661989	271052487.167647	736862815.956956	2648141500.53203	4008185936.9458	299744490.620838	1147028047.14007	713604904.066869	217363.662524176	218885208.161845	0	252576575.853092	295831944.695403
65	1	3	28	0	1	NA	1243264.43454615	0	84768029.6281468	17405702.0836461	120031529.953456	348340089.751931	1154540563.53536	1597029678.19428	151113140.81711	359303421.583838	371962114.008308	226048.079008391	98443938.4081544	0	139132592.629665	73126553.5592146
66	1	3	28.75	0	1	NA	1005554.37251562	0	73472506.1518077	14479982.9642249	88421747.8232065	240461568.947568	1012660290.08139	1447059779.00814	114566161.508613	268818202.252508	266538945.674806	268147.832670831	75751762.7295098	0	116778381.128147	57383636.1915578
67	1	3	29	0	1	NA	607652.399481193	557014.699524427	53878512.7539991	12861975.7890186	63803501.9455253	200677204.928664	807772589.710333	999233733.246866	83045827.9290964	191309230.436662	206348627.323822	405101.599654129	58435905.7501081	0	95502702.1184609	36560419.3687851
68	1	3	30	0	1	NA	1469076.12602563	30942415.9044149	183818150.268957	23413400.7585335	23872487.0479165	394263305.322129	775396742.767904	1611117423.96073	82819166.604695	1156989266.50306	127717805.706353	27269725.5893508	66567511.9605364	0	58854862.2989019	1608821992.51382
69	1	3	31	0	1	NA	92581.273481496	222472800.176035	57307808.285046	8147152.06637165	2592275.65748189	1064777226.31069	149333594.125653	256264964.996781	37217671.9395614	1415845415.35252	53141650.9783787	462906.36740748	60825896.6773428	0	54345207.5336381	403839514.926285
70	1	3	32	0	1	NA	0	243773592.672636	5309732.08466262	853349.799320778	189633.288737951	1108691022.60643	201106102.706597	3792665.77475901	663716.510582827	1810523824.22558	6352715.17272135	3128949.26417619	16782546.0533086	0	3508215.84165209	1201990600.6655
71	1	3	34	0	1	NA	0	213505315.652683	21856468.3322177	17606599.4898421	473556813.864718	1195629767.65502	2433555849.02702	3035620.60169691	0	5117449210.34065	100984978.683117	3440370.0152565	236980781.639139	202374.706779794	70628772.6661481	1298233743.99238
72	1	3	36	0	1	NA	0	249317788.391349	10318893.7785471	40776273.8023234	449870481.990531	987285127.328092	2128521492.48128	4327278.03616493	1497903.93559555	2601359834.81761	881766116.753916	3661542.95367802	318720670.740609	166433.770621728	49597263.645275	252480030.033162
73	1	3	38	0	1	NA	0	214303563.362396	29810709.6895162	25849846.1643357	302693359.924318	786127176.49766	2451774522.08671	1420073807.02786	38983235.7478288	612683047.395021	1538065846.77797	625399.503975864	170525598.084085	0	303527225.929619	257247662.635405
74	1	3	42	0	1	NA	115679.368973659	135113502.961234	50320525.5035416	21863400.7360215	334660414.440795	422692414.22975	2243022964.39925	6015327.18663026	82595069.4471924	1171369290.22727	715592576.471054	1156793.68973659	135229182.330207	115679.368973659	278208882.38165	248594963.924393
75	1	3	45	0	1	NA	114627.2144149	57428234.421865	83104730.4508026	13182129.6577135	140762219.301497	286338781.608421	1482473764.0279	8597041.08111751	113710196.699581	398100315.662948	449338680.506409	802390.500904301	82760848.8075579	0	145576562.306923	139042811.085274
76	1	3	49	0	1	NA	0	37466241.7817397	39595005.5193385	14390442.8661682	98774637.4245864	202573157.269906	1183762939.20397	1528622664.69498	82936635.216851	285509792.486757	294195148.53616	596053.846527677	78764258.2911573	0	119040468.206527	122105887.98867
77	1	3	52	0	1	NA	104044.003323699	50461341.6119939	70645878.2567914	10300356.3290462	136921908.373987	359992251.499997	1683015797.76415	2824378514.22512	153568948.905779	520011928.611846	409413153.078754	416176.013294795	116841415.732514	0	209648666.697253	257612952.229478
