Sample	Subject	Time	Group	Strain4	Strain6	Strain7	Strain9	Strain13	Strain14	Strain15	Strain16	Strain21	Strain26	Strain27	Strain28	Strain29
54	1	62	High_fiber2	0.398458940257547	0.0021321511505172	0.021954823728098	0.00171785940468651	0.00151467173316445	0.000438040954190416	0.171258180282879	0.0113204559848005	0.000327211315178383	0.000335127717964957	0.195799028921258	0.0836499894447963	0.111093519104919
55	1	63	High_fiber2	0.399742242706888	0.00602889939820225	0.023809783855219	0.00327657575989253	0.00173440076890311	0.000626918162059437	0.166231610218548	0.0123636125339945	0.000565755414541443	0.000731768586375998	0.204239889033301	0.0773271879334637	0.103321355628611
56	1	65	High_fiber2	0.33003300330033	0.00468994267847837	0.0162286905382268	0.00560807960495298	0.00155835132385419	0.000791582917690265	0.191816174098613	0.0115387478597484	0.000674954713516465	0.000821360331521874	0.220849152584431	0.106950544678528	0.108439415370108
57	2	1	High_fiber1	0.378897138387562	0.171634748508396	0.0350621232537744	0.277386636386715	0.000253917634531366	0.00266924551222283	0.0503311124126762	0.00213483089166127	0.00149579541945538	0.00774759820285016	5.34414620561562e-07	0.0723863189755343	0
58	2	2	High_fiber1	0.218405586081559	0.0184130256878979	0.113453996662805	0.12009650232222	0.000914008778735479	0.000637680543303823	0.281642239959188	0.023939590396531	0.00361352307872166	0.0030024125580555	0.0166062641485371	0.088743875609782	0.110531294172663
59	2	3	High_fiber1	0.176360851854054	0.0210047756140783	0.0781309712868681	0.0219955669166292	0.000656753091976572	0.000622783104460542	0.345361539746301	0.0267513651688733	0.00100494546401588	0.00205518424471979	0.0240054578446609	0.0563335626307491	0.245716243032614
60	2	4	High_fiber1	0.18770967243927	0.0123751154806568	0.0627332586742208	0.0284260078367563	0.000659189319662711	0.000492554101309312	0.2178510428179	0.0272007488782754	0.000426390117551344	0.000693496570500175	0.088218645010623	0.0816022466348263	0.291611632118448
61	2	5	High_fiber1	0.200853957512168	0.00444154176197931	0.0525108385652726	0.0123181675467702	0.000923315578106043	0.000136528180269709	0.19407130753082	0.0220983112295522	0.000186194681746029	0.000479161401908113	0.225359015509295	0.0717648127058726	0.21485684779624
62	2	6	High_fiber1	0.182882531043837	0.00443033456374852	0.0512323049078028	0.00850372274084433	0.000682397503894915	0.000438834087120115	0.169024612503202	0.0183302467969311	0.000394740709945366	0.000524921156842242	0.293955847831656	0.0980552720981309	0.171544234056045
63	2	7	High_fiber1	0.194677832521905	0.00136112251238232	0.0451003645342414	0.00966899901525463	0.000811157635507939	0.000395844926127874	0.136112251238232	0.0167098472914635	0.000386111034501779	0.000360153990165525	0.292016748782858	0.104477103453423	0.197922463063937
64	2	8	High_fiber1	0.233624390386356	0.00144068374071586	0.046335504093294	0.0155944280582893	0.00113113142345394	0.000492558089731235	0.159448646438688	0.0155360219606927	0.000414683292935783	0.000521761138529529	0.295924227822718	0.109024715513633	0.120511248040962
65	2	9	High_fiber1	0.301940374936501	0.00128528673114862	0.0428428910382873	0.0107719268896265	0.00100170759522853	0.000212174317522946	0.146277870830724	0.0151378215001948	0.000342743128306298	0.000550837170492265	0.30806078794197	0.102414910958191	0.0691606669618066
